best_gt_class,best_gt_instance_id,best_gt_point_count,best_iou,candidate_id,coverage,error_type,matched_points,overlap_gt_count_10pct,point_count,precision,scene_name,source_track_ids,superpoint_count,support_score,valid_gt_point_fraction,visual_path
door,5018,7265,0.0004480537664519742,0,0.0022023399862353753,weak_or_wrong_geometry,16,0,28461,0.0005621727978637434,scene0019_01,"[7, 14]",86,1042.0324929296262,0.0015108393942588102,docs/diagnostics/sam2_details_gt_diagnostic_smoke3_20260720/scene0019_01/visuals/candidate0000_weak_or_wrong_geometry.png
,-1,0,0.0,1,0.0,background_or_non_instance,0,0,9986,0.0,scene0019_01,[1],47,131.08172987482874,0.0,
,-1,0,0.0,2,0.0,background_or_non_instance,0,0,4048,0.0,scene0019_01,[10],18,106.59268874909962,0.0,
door,5018,7265,0.0170503909643788,3,0.02161046111493462,weak_or_wrong_geometry,157,0,2100,0.07476190476190477,scene0019_01,[13],23,97.98914428697357,0.10142857142857142,docs/diagnostics/sam2_details_gt_diagnostic_smoke3_20260720/scene0019_01/visuals/candidate0003_weak_or_wrong_geometry.png
armchair,23022,2209,0.38966539601863615,4,0.8329560887279311,mixed_multiple_instances,1840,2,4353,0.42269699058120835,scene0019_01,[11],15,78.72366235896367,0.8849069607167471,docs/diagnostics/sam2_details_gt_diagnostic_smoke3_20260720/scene0019_01/visuals/candidate0004_mixed_multiple_instances.png
lamp,28020,835,0.019444444444444445,5,0.041916167664670656,weak_or_wrong_geometry,35,0,1000,0.035,scene0019_01,[15],11,49.999620705859826,0.035,docs/diagnostics/sam2_details_gt_diagnostic_smoke3_20260720/scene0019_01/visuals/candidate0005_weak_or_wrong_geometry.png
,-1,0,0.0,6,0.0,background_or_non_instance,0,0,398,0.0,scene0019_01,"[0, 8]",5,43.45199769260318,0.0,
armchair,23004,4367,0.04437541601952518,7,0.04579803068468056,weak_or_wrong_geometry,200,1,340,0.5882352941176471,scene0019_01,[3],6,16.32275365315688,0.5882352941176471,docs/diagnostics/sam2_details_gt_diagnostic_smoke3_20260720/scene0019_01/visuals/candidate0007_weak_or_wrong_geometry.png
door,5018,7265,0.017344686218858405,8,0.022711631108052306,weak_or_wrong_geometry,165,0,2413,0.06837961044343141,scene0019_01,[2],5,13.301049843617594,0.06837961044343141,docs/diagnostics/sam2_details_gt_diagnostic_smoke3_20260720/scene0019_01/visuals/candidate0008_weak_or_wrong_geometry.png
door,5019,4491,0.010783450704225352,9,0.010910710309507904,weak_or_wrong_geometry,49,1,102,0.4803921568627451,scene0019_01,[6],2,7.935947712418301,0.4803921568627451,docs/diagnostics/sam2_details_gt_diagnostic_smoke3_20260720/scene0019_01/visuals/candidate0009_weak_or_wrong_geometry.png
door,5019,4491,0.00021249468763280918,10,0.00022266755733689602,weak_or_wrong_geometry,1,0,216,0.004629629629629629,scene0019_01,[9],3,6.893116735613754,0.004629629629629629,docs/diagnostics/sam2_details_gt_diagnostic_smoke3_20260720/scene0019_01/visuals/candidate0010_weak_or_wrong_geometry.png
