scene_name,gt_instance_id,gt_class,gt_point_count,baseline_best_iou,gt_superpoint_count,reliable_superpoint_count,size_eligible_superpoint_count,visible_eligible_superpoint_count,best_superpoint_id,best_superpoint_gt_purity,max_superpoint_gt_purity,gt_fraction_in_pure_superpoints,max_visible_frame_count,unreliable_reason,boundary_mixed
scene0019_01,5018,door,7265,0.10107296137339056,34,18,24,24,489,0.4940102681118083,1.0,0.5102546455609085,30,存在可靠超点,False
scene0019_01,23004,armchair,4367,0.0,33,26,29,30,155,0.7952652345462516,1.0,0.9995420196931531,9,存在可靠超点,False
scene0019_01,23022,armchair,2209,0.0,16,10,14,11,153,0.9884169884169884,1.0,0.7849705749207786,9,存在可靠超点,False
scene0084_01,49017,toilet paper,101,0.0,1,1,1,1,70,0.926605504587156,0.926605504587156,1.0,13,存在可靠超点,False
scene0084_01,55005,shower curtain,4015,0.04697781178270849,33,0,19,0,244,0.9954995499549955,1.0,0.9556662515566625,0,可见帧不足,False
scene0084_01,71024,mirror,299,0.2129032258064516,2,1,2,1,13,0.2519607843137255,0.75,0.14046822742474915,5,存在可靠超点,False
scene0084_01,128030,shower wall,18601,0.005134653672849209,68,5,35,5,166,0.9601598934043971,1.0,0.9796247513574539,23,存在可靠超点,False
scene0084_01,1163015,object,101,0.0,2,2,2,2,69,0.46411483253588515,0.46411483253588515,0.0,30,存在可靠超点,True
scene0084_01,1163019,object,223,0.0,4,2,2,4,49,1.0,1.0,0.9372197309417041,23,存在可靠超点,False
scene0084_01,1163031,object,154,0.0,2,0,2,0,236,0.8584070796460177,1.0,1.0,0,可见帧不足,False
scene0084_01,1179034,shower head,317,0.0,8,0,6,0,168,0.9692307692307692,0.9692307692307692,0.8201892744479495,0,可见帧不足,False
scene0084_02,115043,toilet paper holder,203,0.13120567375886524,4,0,3,0,10,0.9900990099009901,0.9900990099009901,0.6551724137931034,1,可见帧不足,False
scene0084_02,1163028,object,167,0.0,5,5,5,5,279,0.9529411764705882,0.9529411764705882,0.9520958083832335,7,存在可靠超点,False
scene0084_02,1163037,object,156,0.0,1,0,1,0,102,0.9285714285714286,0.9285714285714286,1.0,1,可见帧不足,False
scene0169_01,16013,window,3340,0.07588878760255241,31,10,23,12,94,0.9990645463049579,1.0,0.9131736526946108,13,存在可靠超点,False
scene0207_01,32055,clothes,898,0.13217544892552252,6,1,5,1,620,0.31229392369288744,1.0,0.2383073496659243,3,存在可靠超点,False
scene0207_01,65037,bottle,118,0.07989167230873392,2,0,2,0,1227,0.6410256410256411,0.9772727272727273,1.0,0,可见帧不足,False
scene0207_01,71046,mirror,524,0.20419847328244276,8,0,7,0,1166,0.10108794197642793,1.0,0.5553435114503816,0,可见帧不足,False
scene0207_01,562030,bowl,325,0.18888888888888888,7,6,6,7,375,1.0,1.0,0.9938461538461538,23,存在可靠超点,False
scene0256_02,71008,mirror,2348,0.11022244438890277,25,0,17,0,10,0.9681274900398407,1.0,0.9829642248722317,0,可见帧不足,False
scene0256_02,122003,ladder,765,0.15353982300884955,14,7,10,8,151,0.2977346278317152,1.0,0.6091503267973856,23,存在可靠超点,False
scene0277_01,107003,pipe,766,0.0,5,3,4,3,240,0.0623434822723079,1.0,0.3825065274151436,17,存在可靠超点,False
scene0307_02,16040,window,1764,0.07633087633087633,20,1,17,1,802,0.18781961878196188,1.0,0.7074829931972789,3,存在可靠超点,False
