scene_name,candidate_id,candidate_class_name,candidate_point_count,parent_mask_id,parent_candidate_iou,parent_target_gt_instance_id,parent_target_gt_class,keep_iou,union_iou,intersection_iou,oracle_best_action,oracle_best_iou,oracle_gain,oracle_improves,both_nonkeep_worsen,local_overlap_pair,score,fusion_score,support_score,best_existing_iou,seed_in_existing_mask_ratio,source_track_count
scene0019_01,0,mat,7262,0,0.0,56021,trash can,0.9061270376616076,0.17829886074549275,0.0,keep,0.9061270376616076,0.0,False,True,False,0.03583398833870888,0.03583398833870888,146.0155817335946,0.0,0.0,1
scene0019_01,1,divider,4472,20,0.3438287153652393,5018,door,0.10107296137339056,0.35621364357482815,0.03205488696434597,union,0.35621364357482815,0.2551406822014376,True,False,True,0.32758578658103943,0.32758578658103943,139.4359176120531,0.3438287153652393,0.45147584973166366,1
scene0019_01,3,refrigerator,4048,0,0.0,56021,trash can,0.9061270376616076,0.27664321263085634,0.0,keep,0.9061270376616076,0.0,False,True,False,0.13102947175502777,0.13102947175502777,106.59268874909962,0.0,0.0,1
scene0019_01,4,couch,5491,4,0.5579542830755022,6010,couch,0.5602416918429003,0.5189745886040524,0.5593980147294269,keep,0.5602416918429003,0.0,False,False,True,0.20077693462371826,0.20077693462371826,106.43826878155588,0.5579542830755022,0.8940083773447459,1
scene0019_01,5,mat,1757,3,0.0013328890369876708,5019,door,0.936655592469546,0.6751277139208174,0.0017813404586951682,keep,0.936655592469546,0.0,False,True,False,0.15825681388378143,0.1570175847087225,98.43390101867087,0.0013328890369876708,0.005122367672168469,1
scene0019_01,8,armchair,3134,0,0.0,56021,trash can,0.9061270376616076,0.32810909831060453,0.0,keep,0.9061270376616076,0.0,False,True,False,0.5618530511856079,0.41202456659066194,46.66630917860757,0.0,0.0,1
scene0019_01,10,mini fridge,278,0,0.0,56021,trash can,0.9061270376616076,0.7836655323286339,0.0,keep,0.9061270376616076,0.0,False,True,False,0.04990312457084656,0.03012380352918228,20.729127838141945,0.0,0.0,1
scene0019_01,11,bathroom stall door,203,0,0.0,56021,trash can,0.9061270376616076,0.8133198789101918,0.0,keep,0.9061270376616076,0.0,False,True,False,0.04726087674498558,0.028182591948195654,19.263940448103742,0.0,0.0,1
scene0019_01,12,armchair,807,4,0.07281139656641909,6010,couch,0.5602416918429003,0.5828206056219085,0.1218667210108009,union,0.5828206056219085,0.022578913779008225,True,False,True,0.08847253024578094,0.051054653157960865,15.41357077983093,0.07281139656641909,0.7410161090458488,1
scene0019_01,13,armchair,200,0,0.0,56021,trash can,0.9061270376616076,0.8145528044466902,0.0,keep,0.9061270376616076,0.0,False,True,False,0.06472619622945786,0.03718820695001932,14.90929211469534,0.0,0.0,1
scene0019_01,14,refrigerator,1202,0,0.0,56021,trash can,0.9061270376616076,0.5407581348540759,0.0,keep,0.9061270376616076,0.0,False,True,False,0.11555052548646927,0.06552624784331658,13.415750499532896,0.0,0.0,1
scene0019_01,15,armchair,103,0,0.0,56021,trash can,0.9061270376616076,0.8565356004250797,0.0,keep,0.9061270376616076,0.0,False,True,False,0.012648779898881912,0.006885483147828083,8.871894409937887,0.0,0.0,1
scene0019_01,16,bathroom stall door,176,0,0.0,56021,trash can,0.9061270376616076,0.8245524296675192,0.0,keep,0.9061270376616076,0.0,False,True,False,0.002935413969680667,0.0015688777406421344,6.893116735613754,0.0,0.0,1
scene0084_01,0,counter,4246,27,0.7018189692507579,1156001,bathroom counter,0.7171106838780554,0.5646830530401035,0.6149409502883824,keep,0.7171106838780554,0.0,False,True,True,0.4459596872329712,0.4459596872329712,255.4079734037333,0.7018189692507579,0.939707960433349,1
scene0084_01,1,counter,4791,12,0.155165840640488,71003,mirror,0.888100866824271,0.21483034693099504,0.7222715173025732,keep,0.888100866824271,0.0,False,True,True,0.05990792438387871,0.04718906404169176,57.53863792480311,0.155165840640488,0.2018367772907535,1
scene0084_01,2,trash bin,1491,16,0.8317880794701987,56021,trash can,1.0,0.8443708609271523,0.9850980392156863,keep,1.0,0.0,False,False,True,0.569369912147522,0.44727530793414877,57.112379278046966,0.8317880794701987,0.8423876592890678,1
scene0084_01,3,divider,189,14,0.08145849495733126,161023,doorframe,0.5708661417322834,0.5354505169867061,0.13291139240506328,keep,0.5708661417322834,0.0,False,True,True,0.06595916301012039,0.05105361569920134,54.803709960261216,0.08145849495733126,0.9682539682539683,2
scene0084_01,4,counter,171,8,0.21981981981981982,131010,jacket,1.0,0.9117117117117117,0.24110671936758893,keep,1.0,0.0,False,True,True,0.03378739580512047,0.022864056949483104,35.340747072421976,0.21981981981981982,0.7134502923976608,1
scene0084_01,5,door,3729,4,0.8941658630665381,5008,door,0.9500575373993095,0.9479357798165138,0.8536248561565017,keep,0.9500575373993095,0.0,False,False,True,0.49811607599258423,0.29629865571520936,18.967714553192035,0.8941658630665381,0.997586484312148,1
scene0084_01,6,container,744,23,0.6864754098360656,261028,sign,0.9101995565410199,0.8411885245901639,0.8160779537149817,keep,0.9101995565410199,0.0,False,True,True,0.23151856660842896,0.1322952324994273,14.284771573573465,0.6864754098360656,0.9005376344086021,1
scene0084_01,7,soap dispenser,340,1,0.8558823529411764,100026,soap dispenser,1.0,0.8558823529411764,1.0,keep,1.0,0.0,False,False,True,0.457040011882782,0.2607290174328041,14.094613449149755,0.8558823529411764,0.8558823529411764,1
scene0084_01,8,shower door,717,0,0.0,14014,sink,0.562753036437247,0.28600823045267487,0.0,keep,0.562753036437247,0.0,False,True,False,0.02703171782195568,0.014862702395440193,9.964912280701753,0.0,0.0,2
