scene_name,candidate_id,class_name,recommended_action,largest_cc_to_point_ratio,largest_cc_covered_by_point_ratio,point_covered_by_largest_cc_ratio,existing_mask_iou,existing_mask_seed_coverage,conflict_overlap,is_large_plane_class,is_small_plane_class,action_reason
scene0207_00,2,pillow,accept_completion,1.6897233201581028,0.5649122807017544,0.9545454545454546,0.9303590859630033,1.0,0.003952569169960474,False,False,point_covered_by_largest_cc=0.95;mask3d_iou=0.93/coverage=1.00;moderate_expansion_supported
scene0207_00,3,blanket,accept_completion,1.7645376549094376,0.5262020529443544,0.9285033365109628,0.3149648838465694,0.6996218260399784,0.06863679694947569,False,False,point_covered_by_largest_cc=0.93;moderate_expansion_supported
scene0222_00,2,pillow,accept_completion,0.8335854765506808,0.8584392014519057,0.7155824508320726,0.6288532675709001,1.0,0.17246596066565809,False,False,conflict_overlap=0.17;mask3d_iou=0.63/coverage=1.00;small_expansion_low_conflict
scene0222_00,3,trash bin,accept_completion,1.0125,0.7021604938271605,0.7109375,0.4761204996326231,1.0,0.14375,False,False,mask3d_iou=0.48/coverage=1.00;small_expansion_low_conflict
scene0222_00,12,clothes,accept_completion,1.5996860282574568,0.5289499509322866,0.8461538461538461,0.525233644859813,0.8272816486751717,0.04866562009419152,False,False,point_covered_by_largest_cc=0.85;mask3d_iou=0.53/coverage=0.83;moderate_expansion_supported
scene0277_01,1,bookshelf,accept_completion,2.4141791044776117,0.40030911901081917,0.9664179104477612,0.5889849795175239,1.0,0.007462686567164179,False,False,largest_cc_to_point=2.41;largest_cc_covered_by_point=0.40;point_covered_by_largest_cc=0.97;mask3d_iou=0.59/coverage=1.00;boundary_expands_without_cleanup=1.49;v5_large_nonplane_strong_supported_completion
scene0307_00,1,folded chair,accept_completion,1.987788331071913,0.47235494880546075,0.9389416553595658,0.4372964169381108,0.7331058020477815,0.024423337856173677,False,False,point_covered_by_largest_cc=0.94;moderate_expansion_supported
scene0307_00,2,blanket,accept_completion,2.096033402922756,0.44721115537848605,0.9373695198329853,0.5615212527964206,1.0,0.012526096033402923,False,False,largest_cc_to_point=2.10;largest_cc_covered_by_point=0.45;point_covered_by_largest_cc=0.94;mask3d_iou=0.56/coverage=1.00;boundary_expands_without_cleanup=1.47;v5_large_nonplane_strong_supported_completion
scene0329_00,0,coffee table,accept_completion,1.6814268142681428,0.5508412582297001,0.9261992619926199,0.6247714808043876,1.0,0.0024600246002460025,False,False,point_covered_by_largest_cc=0.93;mask3d_iou=0.62/coverage=1.00;moderate_expansion_supported
scene0329_00,1,coffee table,accept_completion,1.7965023847376789,0.5238938053097345,0.9411764705882353,0.5164533820840951,1.0,0.058823529411764705,False,False,point_covered_by_largest_cc=0.94;mask3d_iou=0.52/coverage=1.00;moderate_expansion_supported
scene0338_01,0,trash bin,accept_completion,1.2229241877256318,0.7535055350553506,0.9214801444043321,0.8725048293625242,1.0,0.0740072202166065,False,False,point_covered_by_largest_cc=0.92;mask3d_iou=0.87/coverage=1.00;small_expansion_low_conflict
scene0338_01,1,recycling bin,accept_completion,1.358600583090379,0.6836909871244635,0.928862973760933,0.6867079280872385,1.0,0.060058309037900874,False,False,point_covered_by_largest_cc=0.93;mask3d_iou=0.69/coverage=1.00;small_expansion_low_conflict
scene0338_01,3,mini fridge,accept_completion,1.0267857142857142,0.8091304347826087,0.8308035714285714,0.36578341013824883,0.5521739130434783,0.05848214285714286,False,False,point_covered_by_largest_cc=0.83;small_expansion_low_conflict
scene0353_00,0,paper cutter,accept_completion,1.5961538461538463,0.5247657295850067,0.8376068376068376,0.7854889589905363,1.0,0.14316239316239315,False,False,point_covered_by_largest_cc=0.84;mask3d_iou=0.79/coverage=1.00;moderate_expansion_supported
scene0353_00,2,towel,accept_completion,1.6373333333333333,0.6107491856677525,1.0,0.8648111332007953,0.9446254071661238,0.0,False,False,point_covered_by_largest_cc=1.00;mask3d_iou=0.86/coverage=0.94;moderate_expansion_supported
scene0353_00,3,folded chair,accept_completion,2.0220082530949104,0.48095238095238096,0.9724896836313618,0.651595744680851,1.0,0.02200825309491059,False,False,largest_cc_to_point=2.02;point_covered_by_largest_cc=0.97;mask3d_iou=0.65/coverage=1.00;v5_large_nonplane_strong_supported_completion
scene0353_00,7,cup,accept_completion,1.2598425196850394,0.66875,0.84251968503937,0.7843137254901961,1.0,0.08661417322834646,False,False,point_covered_by_largest_cc=0.84;mask3d_iou=0.78/coverage=1.00;small_expansion_low_conflict
scene0353_00,9,laptop,accept_completion,3.140939597315436,0.28846153846153844,0.9060402684563759,1.0,1.0,0.0,False,False,largest_cc_to_point=3.14;largest_cc_covered_by_point=0.29;point_covered_by_largest_cc=0.91;mask3d_iou=1.00/coverage=1.00;boundary_expands_without_cleanup=1.48;v5_large_nonplane_strong_supported_completion
scene0378_00,0,printer,accept_completion,1.96,0.46122448979591835,0.904,0.9308510638297872,1.0,0.056,False,False,point_covered_by_largest_cc=0.90;mask3d_iou=0.93/coverage=1.00;moderate_expansion_supported
scene0378_00,7,storage bin,accept_completion,1.3474903474903475,0.5444126074498568,0.7335907335907336,0.6595238095238095,0.7936962750716332,0.13127413127413126,False,False,mask3d_iou=0.66/coverage=0.79;boundary_expands_without_cleanup=1.42;small_expansion_low_conflict
