best_gt_class,best_gt_instance_id,best_gt_point_count,best_iou,candidate_id,coverage,error_type,matched_points,overlap_gt_count_10pct,point_count,precision,scene_name,source_track_ids,superpoint_count,support_score,valid_gt_point_fraction,visual_path
bathroom counter,1156001,2639,0.4844760672703752,0,0.8514588859416445,overmerged_or_boundary_leakage,2247,1,4246,0.5292039566650966,scene0084_01,[0],0,255.4079734037333,0.706547338671691,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0000_overmerged_or_boundary_leakage.png
trash can,56022,1071,0.0011082051509375415,2,0.02334267040149393,weak_or_wrong_geometry,25,0,21513,0.0011620880397898944,scene0084_01,[2],0,54.74175459641229,0.0032073629898201087,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0002_weak_or_wrong_geometry.png
shower wall,128030,18601,0.21651033418605595,7,0.2866512553088544,weak_or_wrong_geometry,5332,1,11358,0.46944884662792746,scene0084_01,[7],0,30.83074181876529,0.5110054587075189,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0007_weak_or_wrong_geometry.png
doorframe,161023,790,0.12013729977116705,4,0.13291139240506328,mixed_multiple_instances,105,2,189,0.5555555555555556,scene0084_01,[4],0,17.690240960314178,0.9682539682539683,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0004_mixed_multiple_instances.png
sign,261028,821,0.9094972067039107,5,0.9914738124238733,good_geometry,814,1,888,0.9166666666666666,scene0084_01,[5],0,16.284771573573465,0.9166666666666666,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0005_good_geometry.png
,-1,0,0.0,1,0.0,background_or_non_instance,0,0,717,0.0,scene0084_01,[1],0,4.982456140350877,0.0,
,-1,0,0.0,6,0.0,background_or_non_instance,0,0,239,0.0,scene0084_01,[6],0,1.4074605451936872,0.0,
mirror,71003,1127,0.15948275862068967,13,0.7222715173025732,overmerged_or_boundary_leakage,814,1,4791,0.16990189939469838,scene0084_01,[5],0,57.53863792480311,0.2018367772907535,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0013_overmerged_or_boundary_leakage.png
trash can,56021,1275,0.8317880794701987,11,0.9850980392156863,good_geometry,1256,1,1491,0.8423876592890678,scene0084_01,[3],0,57.112379278046966,0.880617035546613,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0011_good_geometry.png
jacket,131010,506,0.21981981981981982,8,0.24110671936758893,fragment_or_undercoverage,122,1,171,0.7134502923976608,scene0084_01,[0],0,35.340747072421976,0.7134502923976608,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0008_fragment_or_undercoverage.png
door,5008,4345,0.8518348623853211,15,0.8547756041426927,good_geometry,3714,1,3729,0.99597747385358,scene0084_01,[7],0,18.967714553192035,0.9978546527219093,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0015_good_geometry.png
soap dispenser,100026,291,0.8558823529411764,12,1.0,good_geometry,291,1,340,0.8558823529411764,scene0084_01,[4],0,14.094613449149755,0.8558823529411764,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0012_good_geometry.png
doorframe,161023,790,0.17061188030370703,9,0.4835443037974684,mixed_multiple_instances,382,2,1831,0.20862916439104315,scene0084_01,[1],0,12.574905072566251,0.3746586564718733,docs/diagnostics/sam2_lift_gt_diagnostic_smoke3_20260720/scene0084_01/visuals/candidate0009_mixed_multiple_instances.png
