scene_name,candidate_id,class_name,point_count,core_only_count,core_boundary_count,largest_cc_count,largest_cc_to_point_ratio,largest_cc_covered_by_point_ratio,point_covered_by_largest_cc_ratio,existing_mask_iou,existing_mask_seed_coverage,existing_mask_seed_ratio,conflict_overlap,core_boundary_to_core_only_ratio,largest_cc_keep_ratio,is_large_plane_class,is_small_plane_class,is_soft_thin_plane_class,recommended_action,action_reason
scene0011_00,0,tv,1624,3540,4372,4372,2.6921182266009853,0.3602470265324794,0.9698275862068966,0.4326142885414605,1.0,1.0,0.0,1.2350282485875705,1.0,True,False,False,reject_or_needs_mask3d_support,large_plane_class;largest_cc_to_point=2.69;largest_cc_covered_by_point=0.36;point_covered_by_largest_cc=0.97;mask3d_iou=0.43/coverage=1.00;large_plane_overexpanded_requires_visual_or_mask3d_review
scene0011_00,1,dishwasher,435,351,502,500,1.1494252873563218,0.424,0.48735632183908045,0.2243158366980709,1.0,1.0,0.2045977011494253,1.4301994301994303,0.9960159362549801,False,False,False,manual_review,largest_cc_covered_by_point=0.42;conflict_overlap=0.20;boundary_expands_without_cleanup=1.43;conflict_ge_0_18_requires_review
scene0011_00,2,trash bin,666,732,1055,1055,1.5840840840840842,0.5924170616113744,0.9384384384384384,0.5641711229946524,1.0,1.0,0.05855855855855856,1.4412568306010929,1.0,False,False,False,manual_review,point_covered_by_largest_cc=0.94;mask3d_iou=0.56/coverage=1.00;boundary_expands_without_cleanup=1.44;boundary_expansion_supported_but_large
scene0011_00,3,trash bin,435,951,1187,1187,2.7287356321839082,0.36647009267059816,1.0,0.6014023732470335,0.9393428812131424,0.9393428812131424,0.0,1.2481598317560463,1.0,False,False,False,accept_completion,largest_cc_to_point=2.73;largest_cc_covered_by_point=0.37;point_covered_by_largest_cc=1.00;mask3d_iou=0.60/coverage=0.94;v5_large_nonplane_strong_supported_completion
scene0025_02,0,whiteboard,1362,2460,3232,3232,2.372980910425844,0.4130569306930693,0.9801762114537445,0.8286144578313253,0.8511757425742574,0.8511757425742574,0.0,1.313821138211382,1.0,True,False,False,reject_or_needs_mask3d_support,large_plane_class;largest_cc_to_point=2.37;largest_cc_covered_by_point=0.41;point_covered_by_largest_cc=0.98;mask3d_iou=0.83/coverage=0.85;large_plane_overexpanded_requires_visual_or_mask3d_review
scene0025_02,1,whiteboard,2790,5347,5648,5648,2.024372759856631,0.3043555240793201,0.6161290322580645,0.7385449170635572,0.7962110481586402,0.7962110481586402,0.0,1.0562932485505891,1.0,True,False,False,reject_or_needs_mask3d_support,large_plane_class;largest_cc_to_point=2.02;largest_cc_covered_by_point=0.30;mask3d_iou=0.74/coverage=0.80;large_plane_overexpanded_requires_visual_or_mask3d_review
scene0025_02,2,ottoman,624,485,485,485,0.7772435897435898,0.9195876288659793,0.7147435897435898,0.2558016877637131,1.0,1.0,0.1778846153846154,1.0,1.0,False,False,False,manual_review,conflict_overlap=0.18;low_mask3d_iou_without_strong_geometry
scene0025_02,3,telephone,294,247,358,358,1.217687074829932,0.6089385474860335,0.7414965986394558,0.8229885057471265,1.0,1.0,0.1836734693877551,1.4493927125506072,1.0,False,False,False,manual_review,conflict_overlap=0.18;mask3d_iou=0.82/coverage=1.00;boundary_expands_without_cleanup=1.45;conflict_ge_0_18_requires_review
scene0025_02,4,office chair,739,716,852,852,1.1529093369418133,0.7981220657276995,0.9201623815967523,0.3920846755637368,1.0,1.0,0.02435723951285521,1.1899441340782122,1.0,False,False,False,accept_completion,point_covered_by_largest_cc=0.92;mask3d_iou=0.39/coverage=1.00;small_expansion_low_conflict
scene0025_02,5,monitor,650,781,965,965,1.4846153846153847,0.5647668393782384,0.8384615384615385,0.6150414276609305,1.0,1.0,0.004615384615384616,1.235595390524968,1.0,False,False,False,accept_completion,point_covered_by_largest_cc=0.84;mask3d_iou=0.62/coverage=1.00;small_expansion_low_conflict
scene0025_02,6,storage bin,737,723,1084,1084,1.4708276797829036,0.6485239852398524,0.9538670284938942,0.8023686158401184,1.0,1.0,0.005427408412483039,1.4993084370677732,1.0,False,False,False,accept_completion,point_covered_by_largest_cc=0.95;mask3d_iou=0.80/coverage=1.00;boundary_expands_without_cleanup=1.50;small_expansion_low_conflict
scene0025_02,7,office chair,322,636,836,836,2.5962732919254656,0.38516746411483255,1.0,0.5464052287581699,1.0,1.0,0.0,1.3144654088050314,1.0,False,False,False,manual_review,largest_cc_to_point=2.60;largest_cc_covered_by_point=0.39;point_covered_by_largest_cc=1.00;mask3d_iou=0.55/coverage=1.00;large_expansion_with_mask3d_support
scene0025_02,8,bottle,83,95,121,121,1.4578313253012047,0.5454545454545454,0.7951807228915663,0.0,0.0,0.0,0.012048192771084338,1.2736842105263158,1.0,False,False,False,manual_review,low_mask3d_iou_without_strong_geometry
